maximum_nights,extra_people,guests_included,beds,availability_365,accommodates,bedrooms,host_listings_count,host_for,number_of_reviews_ltm,minimum_nights,bathrooms,secure,cleaning_fee,room_type_private_room,host_acceptance_rate,elevator,white_goods,host_response_rate,security_deposit,government,review_scores_value,area_name_salamanca,area_name_san_blas,price
730,0.0,1,1.0,302,1,1.0,1.0,3259,7,1,1.5,0.0,0.0,1,4.0,1.0,1.0,4.0,0.0,0.0,10.0,0,0,40.0
365,10.0,2,2.0,217,4,1.0,6.0,3361,11,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,75.0
365,10.0,2,1.0,299,4,2.0,9.0,3350,5,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,85.0
365,20.0,1,2.0,329,2,1.0,5.0,3247,39,1,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,35.0
1125,12.0,1,1.0,201,2,1.0,3.0,3246,10,1,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,29.0
365,18.0,1,2.0,182,3,0.0,5.0,3247,37,1,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,51.0
700,5.0,5,4.0,355,8,2.0,1.0,3239,31,2,2.5,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,200.0
730,0.0,1,1.0,302,1,1.0,1.0,3234,43,3,1.0,0.0,0.0,1,4.0,0.0,0.0,4.0,0.0,0.0,10.0,0,0,30.0
365,0.0,1,1.0,292,1,1.0,1.0,3230,0,1,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,21.0
1125,50.0,2,1.0,157,2,1.0,16.0,3215,9,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,80.0
330,10.0,2,3.0,76,4,1.0,9.0,3211,16,3,1.0,0.0,0.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,69.0
365,0.0,1,2.0,40,4,1.0,2.0,3200,1,90,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,65.0
5,30.0,1,1.0,363,2,1.0,1.0,3196,8,1,1.0,0.0,0.0,1,2.0,0.0,1.0,4.0,0.0,0.0,10.0,0,0,45.0
30,20.0,3,4.0,299,4,2.0,3.0,3192,0,25,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,0.0,9.0,0,0,90.0
30,40.0,2,2.0,343,3,2.0,1.0,3192,6,3,1.0,0.0,1.0,0,3.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,160.0
365,15.0,2,1.0,276,2,0.0,32.0,3249,4,5,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,80.0
90,15.0,2,1.0,310,2,0.0,32.0,3249,1,5,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,80.0
1125,10.0,1,2.0,351,3,1.0,4.0,3184,11,4,1.0,0.0,1.0,1,3.0,0.0,1.0,4.0,0.0,1.0,8.0,0,0,19.0
730,15.0,1,3.0,0,8,3.0,5.0,3178,0,1,2.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,0,0,90.0
730,15.0,1,1.0,0,2,1.0,5.0,3178,0,1,2.0,0.0,0.0,1,4.0,0.0,1.0,4.0,1.0,1.0,8.0,0,0,30.0
365,20.0,1,1.0,0,2,1.0,5.0,3178,0,1,1.0,0.0,1.0,1,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,30.0
730,15.0,1,1.0,0,8,3.0,5.0,3178,0,1,2.0,0.0,1.0,0,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,89.0
1000,15.0,2,1.0,274,3,1.0,3.0,3169,45,3,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,76.0
730,15.0,2,1.0,233,4,1.0,5.0,3183,53,3,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,10.0,0,0,77.0
190,10.0,1,1.0,304,2,1.0,2.0,3160,1,2,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,35.0
30,0.0,3,0.0,261,2,1.0,1.0,3208,21,3,1.0,0.0,0.0,1,4.0,0.0,0.0,4.0,0.0,1.0,10.0,0,0,75.0
1125,20.0,1,7.0,260,8,2.0,5.0,3720,0,7,1.0,0.0,1.0,0,4.0,0.0,0.0,4.0,1.0,0.0,9.0,1,0,140.0
1125,15.0,1,1.0,318,2,1.0,3.0,3246,12,1,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,1.0,9.0,0,0,40.0
365,20.0,4,2.0,21,5,2.0,1.0,3152,3,5,2.0,1.0,1.0,0,3.0,1.0,1.0,4.0,1.0,0.0,10.0,0,0,90.0
365,10.0,2,1.0,293,2,0.0,2.0,3151,17,3,1.0,0.0,0.0,0,4.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,85.0
365,20.0,1,1.0,341,1,1.0,10.0,3617,2,10,1.0,0.0,1.0,1,3.0,1.0,1.0,4.0,1.0,0.0,10.0,0,0,50.0
365,30.0,1,1.0,73,1,1.0,1.0,3146,4,7,1.0,0.0,1.0,1,4.0,0.0,1.0,4.0,1.0,1.0,10.0,0,0,30.0
150,0.0,2,6.0,223,9,3.0,2.0,3229,25,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,105.0
365,25.0,1,1.0,314,2,1.0,1.0,3143,49,2,1.0,0.0,0.0,1,4.0,1.0,1.0,4.0,0.0,0.0,10.0,0,0,55.0
500,15.0,2,2.0,270,6,2.0,3.0,3169,34,4,2.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,95.0
1125,30.0,2,6.0,316,8,2.0,13.0,2980,21,3,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,145.0
365,20.0,1,2.0,286,3,3.0,4.0,3285,35,1,2.0,0.0,1.0,1,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,29.0
